Protein	Gene	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
WD repeat-containing protein 18 (Fragment)	WDR18	23.0358	22.84796	23.2324	23.18807	22.86854	22.42522	22.34957	21.90055	22.40067	22.41902	20.97446	21.91686	21.76426	21.31496	20.60907	21.99002	22.53255	22.90845	21.57337	22.33956	22.62908	21.27002	21.29702	22.02314	22.97055	21.8368	24.79493	24.81914	24.60477	22.46806	22.95407	22.24193
E3 ubiquitin-protein ligase RNF126	RNF126	21.8322	22.81431	21.19079	19.47657	22.04829	20.54113	17.91804	19.73061	21.98056	20.63157	20.54013	19.18972	21.84694	21.29804	19.89554	23.17176	20.77652	22.34636	20.57856	21.34761	21.98701	20.38655	22.08359	22.5032	20.45965	20.5904	20.92876	19.56334	21.30248	20.72815	19.96395	21.59514
Isoform 2 of N-terminal Xaa-Pro-Lys N-methyltransferase 1	NTMT1	21.63006	21.78139	21.90122	21.61299	21.60536	21.01613	23.6596	23.79071	22.13326	21.68058	22.04153	22.82944	21.52814	22.30574	21.66874	20.03361	25.1415	21.61723	22.19736	22.74634	21.47144	22.6824	21.15388	20.64199	24.84008	24.09008	21.96983	22.55322	22.01451	22.51637	21.41813	20.11629
Tubulin beta-2B chain	TUBB2B	18.77555	26.88751	19.77802	21.09633	20.63197	18.42431	19.58735	28.94512	19.35651	26.40064	24.99891	21.2886	20.35896	20.01705	21.27979	18.42506	25.97289	29.80129	25.88721	18.87719	18.37428	25.12202	18.74057	20.25358	24.8084	28.81004	19.32004	17.79622	25.22225	25.12281	19.29511	19.4268
Dual specificity protein phosphatase 23	DUSP23	20.77932	21.78145	16.8311	22.23602	21.3854	20.44172	23.57816	19.25786	23.09738	18.99964	23.76628	22.95618	23.47123	24.56724	24.29407	24.47832	24.71942	23.04693	23.42449	23.8102	23.17956	24.53713	24.33245	24.37735	23.6572	24.4773	23.29871	23.26528	24.03696	24.01466	24.08985	23.93642
Transmembrane emp24 domain-containing protein 9	TMED9	24.41174	24.27448	24.96659	24.05122	23.5828	24.33531	25.94349	24.75726	23.95411	23.49699	24.18564	23.85491	22.99218	22.82002	22.93058	23.6166	24.54156	23.47617	23.95436	22.27773	23.73736	22.39412	23.10106	23.54409	26.39537	23.71279	25.44588	24.28025	24.64948	23.99149	24.58426	24.76981
Protein DPCD	DPCD	20.06394	19.93039	21.96659	18.92159	20.22516	21.06936	20.52601	20.30619	20.61399	20.93505	21.49873	22.50986	20.02655	20.54994	20.36126	19.84135	20.57996	19.38183	20.92361	20.92269	20.2916	19.71182	19.94624	19.99432	20.58524	19.20564	20.38845	20.15554	19.00602	19.41291	20.83282	19.86176
Gamma-glutamylaminecyclotransferase (Fragment)	GGACT	19.21459	17.37468	20.07496	20.79004	20.07064	19.49488	24.21397	25.56901	18.95413	20.68389	20.80242	19.67141	20.11843	19.95142	17.60104	17.58656	23.46935	20.82949	19.35421	20.28044	20.04934	20.94751	20.17765	19.39053	24.24141	22.14554	19.35275	21.56021	20.68834	22.77441	20.02404	18.98407
Tubulin polymerization-promoting protein family member 3	TPPP3	20.19884	24.77751	24.35584	23.75016	23.74957	24.58091	24.00229	23.46728	19.88774	19.70557	21.21323	24.48502	20.0648	22.75146	18.4674	23.63316	19.11723	19.96434	18.22737	22.84477	20.53963	21.31302	23.01359	23.53916	20.59417	18.23601	21.96881	19.61925	21.54085	20.75283	22.59614	23.18114
Isoform 2 of HIRA-interacting protein 3	HIRIP3	23.09226	23.51283	23.46374	23.85263	23.08656	19.74565	20.9068	21.80264	22.01298	23.01431	19.36595	19.68904	18.63413	19.63689	18.87334	18.28108	20.94578	18.69995	19.32212	19.75214	19.0377	20.51463	18.66033	20.34638	21.2344	19.23181	22.10201	18.69958	18.70423	21.07611	19.72921	18.98406
"Acetyl-CoA acetyltransferase, cytosolic"	ACAT2	25.06441	24.66599	25.93329	26.33247	24.86243	26.05256	24.83341	25.47131	26.31901	25.85928	27.06865	27.96068	26.3796	27.27615	26.60492	24.68319	27.21255	26.52906	27.37825	27.61444	26.02382	27.18736	26.35075	24.70037	25.60281	27.2476	26.82854	26.95181	25.49837	26.90294	25.75663	25.13741
RNA-binding protein 4	RBM4	25.49375	25.49916	25.80532	25.72738	25.48315	24.65323	23.6939	23.41545	24.79947	24.59083	23.71332	24.85686	23.97876	23.63766	24.95345	18.15815	24.47921	24.70501	23.98847	24.35289	24.45229	23.66492	23.67896	17.53605	24.79497	24.13779	25.87912	24.79354	25.64013	24.48415	25.31559	23.84648
Isoform 2 of Protein LSM14 homolog B	LSM14B	21.91702	22.85871	21.87932	22.20416	22.11129	21.85556	19.72772	20.65978	21.90362	21.97418	21.17804	21.66588	20.2697	20.62301	19.03078	21.2104	21.5541	22.06511	21.03423	21.77493	19.82717	18.8308	18.99098	18.63372	23.08283	22.12068	23.13356	23.69345	24.07586	22.27195	22.98089	21.53114
Isoform 12 of Sorbin and SH3 domain-containing protein 1	SORBS1	20.06231	21.99387	20.81473	21.54647	18.92	21.28165	21.81515	22.57545	21.99524	22.15023	21.96238	21.89322	21.24481	21.8126	23.10558	18.60593	22.24339	22.14183	22.00586	22.2216	21.70705	21.37047	22.84838	19.37764	22.61214	22.79121	21.43433	22.46053	21.3257	22.02789	22.12639	19.40604
"Histidine triad nucleotide-binding protein 2, mitochondrial"	HINT2	23.39986	23.60971	23.37318	22.1362	23.40866	21.93777	21.39809	21.7205	22.50159	22.55945	22.06459	20.89089	21.10866	20.63856	21.74513	20.81163	20.35371	19.83582	21.09526	21.82679	20.02432	20.20932	19.98572	20.96317	19.01688	21.82073	22.24707	20.55	20.95029	21.62676	21.42112	20.38798
Rab11 family-interacting protein 5	RAB11FIP5	19.81311	20.62551	20.01989	23.59126	20.22255	19.65857	23.74656	23.95751	20.70222	23.94628	20.4703	18.16854	19.24326	19.76912	24.85415	18.68476	23.96291	24.5093	22.13871	20.97467	20.30663	19.93856	19.20218	18.47713	24.15442	23.77606	21.50526	23.99049	18.77061	19.46961	24.23104	19.30012
TBC1 domain family member 10A	TBC1D10A	19.32957	20.5961	20.09386	22.95865	20.63548	20.85293	21.94485	21.31321	18.76179	19.70234	20.96719	19.82457	20.82198	21.4323	20.55843	22.50918	20.37352	21.86688	21.69558	22.04194	21.49238	21.92513	21.39112	21.21167	20.5833	21.46344	20.99507	20.42704	19.54828	21.27499	20.86959	21.25298
"N-alpha-acetyltransferase 15, NatA auxiliary subunit"	NAA15	22.53395	22.68934	18.77924	23.1254	21.7944	21.83218	24.01818	25.238	22.57778	19.68523	22.79414	23.00429	20.3055	22.04585	21.70623	17.33492	25.93456	22.43962	22.80606	23.0185	22.32626	21.84373	22.55548	21.22794	24.87732	25.14214	23.49065	22.69205	22.08625	22.64602	21.67534	22.26257
Isoform 2 of FSD1-like protein	FSD1L	23.48441	22.27222	23.14116	22.73663	21.86827	22.88928	23.6221	23.7715	23.65405	24.03489	24.82311	24.45877	25.06908	24.86903	25.61626	25.64384	22.90814	24.06666	24.57746	24.67242	24.72035	24.59377	25.49401	25.51473	23.60213	23.43115	24.17667	23.87342	24.15541	23.84433	24.6792	24.31128
Serrate RNA effector molecule homolog (Fragment)	SRRT	25.57565	23.6361	25.89835	25.81991	24.65897	25.16887	23.91803	24.28765	24.11157	23.10995	23.29691	23.76144	22.73842	23.01106	23.13566	23.37889	25.25733	23.97125	23.40994	23.56955	22.65755	22.49081	23.25397	22.77089	23.70862	24.47377	25.23278	24.01818	24.1689	24.15483	24.20365	23.04749
AP-1 complex subunit mu-1	AP1M1	24.43019	23.6738	24.26212	24.87778	24.25906	24.06964	23.40152	24.11227	24.61261	23.63585	24.69453	24.95561	23.79755	24.71294	23.67114	24.14908	24.64108	24.38845	24.80884	25.29696	23.37714	24.81407	23.84911	24.29872	24.11787	24.54355	25.05524	25.06596	24.59104	25.38869	24.41661	24.31163
Nucleolar and spindle-associated protein 1 (Fragment)	NUSAP1	22.27494	22.6157	23.00355	20.0248	22.31424	19.09864	20.65271	21.38058	21.20702	21.875	19.62951	20.54254	20.82831	19.99021	19.34706	20.78604	22.23152	19.38676	19.11159	20.06001	21.03424	19.68922	20.66913	19.72612	19.39224	20.7087	19.7011	21.10926	21.12722	18.70571	20.45257	17.62298
Isoform A of Oxysterol-binding protein-related protein 1	OSBPL1A	19.05854	19.98475	20.33995	19.48438	20.52678	21.43616	19.61087	21.93693	20.09982	21.45136	21.08686	19.682	21.31363	20.20401	21.93041	20.93701	20.30659	21.72005	19.69103	18.96631	20.6226	21.75836	21.18183	21.22613	21.30136	17.96731	20.11263	22.16681	21.68487	21.0037	18.55529	20.62151
Protein kinase C and casein kinase substrate in neurons protein 1	PACSIN1	20.91763	18.60999	18.69275	18.6719	22.87296	22.44743	19.72398	22.30558	18.83377	22.33171	22.50031	18.49874	22.7852	21.65967	20.29625	23.64869	20.5702	19.20345	20.9579	19.47	21.65224	21.02776	21.80471	24.23291	20.26126	19.74952	19.09382	20.49454	20.13796	19.97715	22.82067	23.37777
S phase cyclin A-associated protein in the endoplasmic reticulum (Fragment)	SCAPER	23.02452	21.08729	23.43644	20.14175	22.79944	22.10302	24.49995	18.16745	22.5056	23.68987	25.90439	21.81975	23.80522	26.48851	22.95366	19.75146	18.71969	26.87244	26.42986	21.53497	21.39123	16.63424	23.52037	18.7362	18.67363	23.78584	23.15485	17.1633	23.35888	23.20774	22.42807	23.0045
Inosine triphosphate pyrophosphatase	ITPA	24.10684	23.99958	23.21649	25.0882	24.51478	23.32459	24.43165	24.23207	24.65129	24.70378	23.86048	24.41667	24.40025	22.79758	25.53209	24.19446	24.31618	23.70674	23.67918	23.37275	24.23792	24.04245	24.43617	24.10241	24.47172	24.03436	23.21585	24.71586	24.08455	23.35789	24.58966	24.15355
Cell adhesion molecule 1 (Fragment)	CADM1	19.92341	20.34173	21.56202	21.28581	21.59064	20.84098	21.36358	21.30415	20.11518	22.12405	22.34648	22.31921	21.26121	22.44636	19.57842	22.22128	21.33196	19.65986	22.51755	20.14801	21.61693	22.24278	20.37206	22.50439	22.19969	20.94446	21.44278	21.08026	19.80366	22.31882	22.01386	18.71962
Polymerase delta interacting protein 46	PDIP46	23.6421	24.31156	24.45869	24.19416	24.45272	23.74704	21.3794	22.10486	22.59006	23.2304	21.59614	22.53704	21.88513	20.97099	19.38679	18.71308	22.28281	22.21107	20.75742	22.34093	20.46402	19.8951	20.93544	18.71889	22.26965	22.86198	21.56528	23.34833	22.07051	19.20739	21.18289	19.5127
Isoform 5 of Seizure 6-like protein	SEZ6L	20.23145	19.92303	19.71539	20.94405	18.79186	20.65079	19.73345	23.88483	21.67908	23.33211	22.93696	19.96279	23.73979	23.40028	24.00441	24.46491	20.81567	23.90049	23.61989	21.04428	23.92973	23.63801	24.35662	24.06244	19.531	23.71009	23.86399	18.7753	23.96782	24.03597	24.4984	24.70402
"Neurolysin, mitochondrial"	NLN	19.20248	30.14819	25.00419	23.82915	24.63279	24.17005	18.70186	27.42789	24.55277	24.08339	24.71503	24.03492	24.9604	24.43282	24.55587	25.19107	25.04783	24.66587	25.09518	24.90941	24.55158	26.02424	24.45507	24.84737	19.19129	25.37552	25.62606	25.45567	24.93987	24.36543	24.96165	25.64503
Isoform 2 of Membrane-associated phosphatidylinositol transfer protein 3	PITPNM3	19.52052	19.46296	20.84952	19.78707	18.38184	20.86536	20.89782	21.13737	22.60961	19.72805	20.21394	20.36768	19.52146	19.9177	20.05699	21.82376	19.19119	20.75096	20.41805	18.2326	20.77977	19.8571	19.7381	22.1139	21.42559	18.2298	21.00724	19.02334	20.10136	21.20075	20.83376	22.31037
Oxysterol-binding protein (Fragment)	OSBPL8	20.23791	19.12923	21.912	22.00251	20.35754	21.04857	19.35797	22.41362	22.10863	22.16249	22.78403	19.57023	21.3307	22.22123	21.76706	22.00048	22.72267	21.80133	22.35469	21.76659	20.97457	22.90352	21.37899	21.73888	19.87543	22.35224	22.54889	21.04726	21.35201	22.59188	21.28549	21.94598
Isoform 2 of Oxysterol-binding protein-related protein 6	OSBPL6	21.33211	19.82785	17.70236	19.94596	20.62466	19.64157	20.86416	21.40888	21.63582	20.64773	20.7752	21.16877	21.95312	19.39095	22.55098	20.5995	21.18761	21.55126	21.09707	21.15567	21.85704	20.75283	21.17841	21.14715	21.17835	20.77274	21.10784	20.53526	20.8726	20.30931	20.70632	20.90125
F-box-like/WD repeat-containing protein TBL1XR1 (Fragment)	TBL1XR1	22.36914	22.98823	19.05676	22.4659	23.15842	19.91654	20.12652	21.06094	22.89515	18.59534	20.51711	21.21905	22.13718	20.03338	21.10297	19.77073	21.8976	22.22985	21.79579	23.14605	20.36333	20.49076	22.03983	21.24615	22.38801	19.63098	22.36239	19.28595	19.17548	20.90061	19.77147	20.37722
UBX domain-containing protein 6 (Fragment)	UBXN6	21.91895	22.02763	21.72713	23.65384	22.28325	20.97792	21.60182	22.43242	22.08613	22.81673	23.23789	22.55483	22.69208	22.27346	23.15743	21.84632	22.53875	23.18492	22.89148	22.43608	22.8143	22.88426	22.53712	21.80565	22.52648	22.08152	22.02468	22.29077	21.58519	18.52152	20.79181	22.25677
Isoform 3 of Apoptosis inhibitor 5	API5	23.7708	24.30605	25.58609	26.3548	25.50634	25.21019	24.27128	24.0548	23.70852	23.39004	24.27751	24.27263	23.12694	22.7423	18.4756	21.75573	24.87502	23.76329	23.81917	23.40108	23.38278	23.0213	22.36117	22.3633	24.9507	24.58862	25.84846	25.63811	25.5739	24.97588	24.20182	23.07586
Tripartite motif-containing protein 2	TRIM2	23.99288	24.48385	24.54068	24.63125	24.80384	25.17039	23.80123	24.91839	25.87559	25.94967	26.53438	26.46358	26.70278	27.20152	27.15022	26.78271	24.27929	26.29446	26.68414	27.24101	26.69342	27.07029	27.03734	26.97294	23.73798	24.93103	26.72507	26.3194	26.39246	26.77923	26.96099	26.80157
Alpha-ketoglutarate-dependent dioxygenase FTO	FTO	21.71351	21.8096	22.91436	24.34321	21.97942	20.3073	22.38669	22.38861	21.99759	21.97171	21.76793	20.79742	22.35767	20.2602	22.43346	22.24887	24.34838	21.32459	21.65339	23.31709	20.84494	21.22999	22.42954	21.20138	23.47338	23.53981	24.02893	23.50022	22.45855	22.85922	22.27401	21.58081
Semaphorin-4C	SEMA4C	19.57667	20.12419	17.55705	20.20525	19.12438	20.4908	20.11555	20.24625	19.98564	22.23482	20.48575	20.5918	22.24121	22.59227	22.45212	20.11729	21.66293	21.26956	20.13692	19.63557	22.16405	21.90957	22.64273	21.56272	20.17897	18.70031	21.80223	19.02693	18.90939	21.1303	22.26582	20.81765
E2/E3 hybrid ubiquitin-protein ligase UBE2O	UBE2O	23.62508	23.06394	23.76263	24.15177	24.02665	19.22665	24.23989	23.12517	24.87008	23.98682	24.74849	25.26467	25.01763	25.42534	25.15569	24.89883	23.45436	24.22259	25.20948	25.22508	24.78935	25.29944	25.26062	23.88518	22.94049	23.57026	23.94127	23.6329	24.61807	25.25269	25.59453	24.2066
Isoform 2 of Phosphatase and actin regulator 1	PHACTR1	19.95925	20.0551	19.90763	20.13734	19.46225	20.43651	20.22437	23.20893	21.97848	22.16196	20.44866	20.09335	22.99626	21.53295	22.07509	22.55334	19.81015	21.88389	22.25917	22.4045	22.17931	22.04357	22.63546	22.91655	19.32823	20.03778	21.30217	20.91233	22.34705	20.06159	22.34949	22.86737
Isoform 2 of Protein lunapark	LNP	22.92452	23.6069	22.7937	20.31535	20.06565	20.86617	21.24846	20.05273	22.78769	23.40199	22.59636	23.14088	22.69724	22.79109	22.42324	22.41191	19.56613	23.11221	22.45469	22.98462	22.5766	22.46267	22.23738	22.48074	21.54509	22.6963	20.38114	21.28896	22.7416	22.83449	20.18119	22.44421
Isoform 3 of Protein tweety homolog 3	TTYH3	20.00201	20.66915	19.84872	19.85853	22.42652	22.46852	20.28208	22.03305	19.69081	21.81388	21.70926	20.08645	22.13626	20.62792	23.9047	22.53261	20.24339	22.26829	21.90414	20.44159	22.12939	20.68679	22.87562	23.04749	21.57317	19.79678	20.56962	22.39914	18.51991	21.22618	22.5084	22.75996
Rho GTPase-activating protein 39	ARHGAP39	19.60125	19.67561	19.61004	20.35692	20.30091	21.56402	21.62773	18.85979	20.49658	19.00332	19.06836	19.38059	20.44268	20.95388	21.10808	20.50514	19.91822	20.56234	20.22164	20.42737	20.24296	21.31956	20.98238	20.35062	21.79878	18.77188	17.87021	20.69188	20.5683	20.93005	20.43222	20.80696
Isoform 4 of SRC kinase signaling inhibitor 1	SRCIN1	23.43898	24.56313	18.60348	22.27654	23.88145	21.40177	22.42621	24.74008	19.45173	23.94771	23.66356	23.67595	23.75665	24.42816	24.84101	23.94922	25.9332	24.37756	24.60932	24.2832	23.75012	24.59796	24.19516	24.08287	20.81911	24.99167	22.97465	23.04241	23.95052	24.44894	23.21609	24.28891
Nuclear distribution protein nudE-like 1	NDEL1	20.11528	21.68282	19.38359	21.71076	19.05322	20.48758	21.0997	21.05066	20.78657	21.63471	22.02909	21.05519	20.66107	20.95665	20.72819	22.58527	20.79241	20.44955	21.82259	20.57383	21.40884	22.37211	20.14111	22.60435	21.16509	22.10425	20.96848	20.17173	20.80108	22.08907	20.75665	22.44515
Protein rogdi homolog (Fragment)	ROGDI	19.9285	21.16267	21.24346	18.89936	19.49702	19.21077	21.70594	21.61504	21.31739	22.02459	21.48311	18.80145	21.70164	22.33306	21.22164	21.23713	21.87631	21.10175	21.47265	21.53922	21.59873	22.31601	21.17054	20.87415	21.9109	21.34476	19.77452	22.19063	19.2682	21.16582	21.82092	21.3149
Isoform 2 of PITH domain-containing protein 1	PITHD1	23.36858	24.47196	23.88182	24.20728	24.77703	23.3788	24.36866	26.01458	24.7752	25.06151	24.74602	24.40379	24.5165	24.49708	25.05933	24.6635	26.42264	24.60773	24.57805	24.25924	24.49816	24.66808	24.59451	24.50403	26.43926	25.524	24.58761	24.53039	24.77002	24.39435	25.14493	24.45472
"SRA stem-loop-interacting RNA-binding protein, mitochondrial"	SLIRP	22.72663	23.96075	22.25561	23.06311	22.6327	18.51897	20.21266	20.81955	23.27654	23.40528	20.5418	23.02516	20.48301	19.38602	23.02071	19.87106	22.13722	22.11758	20.07243	22.75965	22.44922	20.89137	22.84305	19.22067	21.28055	23.36279	23.52308	24.02154	23.20863	22.99554	23.32735	22.98818
Serine racemase	SRR	20.93467	20.20043	22.96548	23.97158	22.00751	21.13603	18.48802	20.30672	22.088	23.19051	23.22218	24.38093	22.73945	23.93496	22.96226	22.58776	19.30635	22.82919	22.97699	20.32175	22.87457	24.02052	22.91255	22.45529	21.37757	23.33766	23.19721	23.41287	22.73658	23.7178	22.6977	22.44899
Putative GTP cyclohydrolase 1 type 2 NIF3L1	NIF3L1	17.33643	21.83947	21.6313	18.47285	19.24493	21.15215	19.69326	19.57382	21.99051	22.31027	22.06342	20.49565	21.86343	20.94085	22.21939	22.44086	21.48675	22.01076	22.32229	20.56268	22.70657	21.89483	22.26917	21.65703	21.05573	21.60887	22.2352	22.00921	19.57681	21.84286	22.0209	18.43459
Isoform 3 of Egl nine homolog 1	EGLN1	21.00381	18.06364	20.91043	20.83144	20.93862	19.99114	20.90029	21.93276	21.39441	21.0808	21.44846	20.993	21.01965	21.94803	20.69243	21.10467	21.24245	21.52726	22.10606	22.05587	21.0863	22.8535	21.17146	20.24569	18.20835	20.3252	18.95072	21.52394	21.56509	22.47491	21.22136	21.48157
Protein FAM192A (Fragment)	FAM192A	23.17611	22.87402	23.54836	22.29117	22.96554	22.9667	21.30201	19.71976	22.53151	22.25369	20.46194	21.92458	21.63112	21.31457	18.7729	20.60717	21.74933	22.37677	21.62663	20.93718	22.41761	21.73306	19.44466	21.00104	22.2012	22.08112	22.4444	22.28129	23.37674	21.93356	22.24555	22.07907
Hyaluronan and proteoglycan link protein 2	HAPLN2	15.68888	15.50404	16.15102	19.89048	16.3233	15.96653	15.85701	14.61592	16.25086	16.74058	15.93123	22.83891	15.67879	19.74862	16.1188	19.65728	22.03767	16.64044	16.45648	17.28271	18.89101	16.08347	16.00444	16.3666	20.60941	15.71778	15.71974	17.34043	21.44599	15.06533	15.90016	15.30692
Isoform 2 of Mitochondrial fission factor	MFF	20.66439	22.35119	18.17644	19.29775	21.94467	19.35268	18.50252	22.61816	21.18208	22.86248	21.14196	20.14685	22.50986	21.53317	20.01694	21.37791	20.06691	22.28636	18.23342	21.4884	20.13483	20.15072	20.6318	21.95641	21.8781	22.72005	19.14841	20.5839	19.04531	20.06302	21.0425	22.42308
Phospholysine phosphohistidine inorganic pyrophosphate phosphatase	LHPP	22.3538	22.37594	20.56722	19.28101	22.38672	22.8043	22.56821	23.294	22.19469	22.7452	22.43175	21.85468	22.82769	23.68153	23.63394	22.78011	21.67698	22.92493	22.14659	21.64029	22.68526	23.15219	22.34562	22.47105	19.80257	21.89719	21.91108	21.02372	21.88513	22.09952	22.5845	22.5434
Polyadenylate-binding protein-interacting protein 1	PAIP1	19.09926	20.34425	21.10979	20.03775	21.98505	20.46323	24.34909	25.41216	22.68955	19.76135	23.22039	23.33797	19.25248	23.22398	20.56161	17.68878	24.12172	21.5905	23.77145	23.30536	21.5535	23.51825	22.55897	21.41457	25.33528	24.62953	23.20663	21.37921	21.49698	22.93373	22.61612	22.70407
Protein FAM107B	FAM107B	23.19105	22.592	23.47438	20.8577	23.07864	23.16228	21.56541	20.49256	22.68671	22.8697	22.56514	21.88794	22.32016	20.51598	21.2648	22.82489	21.5231	22.79566	22.75282	22.30619	23.42534	18.24713	17.7437	20.55308	20.44472	20.89063	22.29586	20.76155	20.07517	21.57564	19.12757	18.71894
Integrin-linked kinase-associated serine/threonine phosphatase 2C	ILKAP	18.21303	22.2793	22.06897	21.67989	21.5984	22.21009	20.84745	21.90441	19.78429	21.96972	19.73645	22.3306	20.47719	20.17135	19.23903	20.30541	22.26874	18.39848	22.11883	18.87655	20.0872	21.26773	18.85792	19.89406	22.39582	23.1525	20.81956	22.13686	19.05576	21.20878	20.56324	20.58896
Isoform 2 of 5-3 exoribonuclease 2	XRN2	23.28517	22.66327	22.7023	18.77095	22.5208	19.57111	20.49811	21.4701	20.84912	18.97631	21.15542	18.8812	20.2956	19.49972	19.35669	19.50707	23.50179	20.99521	21.50241	21.97245	20.76962	20.57824	20.01998	20.77892	20.02075	22.41474	17.93314	19.99929	20.27142	21.01252	19.16648	19.77258
Toll-interacting protein	TOLLIP	22.75474	22.62216	21.84536	22.49709	22.31894	21.32434	22.29472	23.50184	22.86306	22.89892	22.46296	22.28726	22.34907	22.90757	23.29978	23.43059	22.7063	23.17908	22.8228	23.43285	22.51911	22.57312	22.89547	23.6126	22.69477	22.5455	21.88651	22.08837	22.27723	22.1193	22.72878	23.5426
Isoform 2 of Histone deacetylase complex subunit SAP130	SAP130	21.33592	21.30274	21.7461	21.07796	21.4445	21.88722	22.00637	20.9326	20.48129	22.40473	20.45495	20.55131	19.39696	19.51178	19.43469	18.66458	22.14624	19.98716	18.80039	18.61822	20.23035	20.55395	18.33571	20.88181	21.22206	20.4432	21.32796	21.13458	19.70742	20.84784	19.46934	20.2555
Protein FAM49A	FAM49A	23.6221	22.49725	22.5006	22.53668	22.83216	20.22069	23.14278	24.07586	23.26808	23.17719	23.23124	23.67012	23.51337	23.9307	23.70223	23.22974	25.55898	23.19245	23.93498	25.96062	23.81585	24.69365	23.86863	22.90678	24.25105	25.30523	24.96482	25.28563	23.84081	25.01918	24.39974	23.56651
FXYD domain-containing ion transport regulator 6	FXYD6	20.71466	20.22215	19.27208	18.64362	21.55374	19.13658	22.44681	22.05012	19.76403	23.79481	18.29839	23.29577	23.49526	21.77628	19.12677	22.70797	19.82356	22.94542	22.9411	22.74602	23.73629	22.2097	19.14496	23.58138	22.30807	22.607	19.33404	20.22303	20.4174	19.96926	20.05013	22.92437
Haloacid dehalogenase-like hydrolase domain-containing protein 2 (Fragment)	HDHD2	23.68721	24.48514	24.62325	25.54067	24.57162	24.99467	25.03419	25.21411	24.16525	24.29142	24.8697	26.04926	24.77255	25.55059	24.62185	23.73339	25.63588	23.95419	24.81651	25.35058	23.93657	25.47454	23.94945	23.52972	24.55405	24.72013	24.10487	25.74607	23.70852	24.96855	23.70311	23.55215
Ras-related protein Rab-17 (Fragment)	RAB17	20.65376	20.3829	20.62647	22.41296	19.88219	23.01818	20.05138	20.43238	20.4451	22.11254	19.38357	22.99249	19.94239	24.22399	20.90551	20.94217	21.27087	20.43573	18.78952	23.07825	19.46798	24.38684	20.41468	18.82398	22.22189	20.93747	22.40564	24.26652	20.84076	23.64482	20.8341	21.26499
Ras-related protein Rab-1B	RAB1B	25.15667	24.84372	24.2995	24.66696	24.79136	24.02791	24.18301	24.27772	24.60086	24.97207	24.69102	24.55456	25.06266	25.58677	25.14581	24.52894	24.43704	24.26528	25.11834	25.0843	25.72295	24.33295	24.72395	24.50318	24.80136	23.77873	24.52451	24.98061	24.58336	24.98179	24.94925	24.27301
Ester hydrolase C11orf54	C11orf54	23.09749	24.76855	23.32636	21.89639	24.66499	22.59558	24.57969	24.45549	23.08643	23.95891	22.6497	22.09024	22.38533	22.23159	22.90722	22.20292	20.22523	22.69272	19.71638	20.27788	22.18755	22.45382	22.20872	22.34254	23.76365	21.6977	22.14768	20.04121	22.09174	22.13015	22.28456	22.40385
Isoform 2 of Beta-soluble NSF attachment protein	NAPB	22.67655	18.56117	24.10848	23.86054	23.05326	20.67573	22.39786	26.10176	24.30628	24.15689	25.49321	24.93291	25.0478	26.02212	25.44732	26.42054	24.66878	24.76351	25.40196	25.40529	25.32387	25.88214	25.51181	26.61217	24.22733	24.08429	24.83823	24.49817	24.98299	25.44267	25.08347	25.72685
Isoform 3 of B-cell lymphoma/leukemia 11A	BCL11A	22.32664	22.68151	22.3645	22.30716	22.93208	22.7354	20.04471	20.5442	23.00359	22.37015	22.35213	23.04168	20.02946	19.76604	19.51789	21.74275	20.7941	23.43557	22.7289	23.25514	22.31848	22.35571	20.53311	20.33829	24.65678	24.86924	22.92474	23.10126	23.37466	23.27726	22.55946	22.49938
Interferon regulatory factor 2-binding protein-like	IRF2BPL	22.09604	23.21568	21.53672	22.38634	22.57221	21.55379	20.61808	22.34361	21.82458	21.34153	20.74863	20.77091	21.17816	20.42558	21.57614	19.3566	23.01161	21.56327	20.85188	21.5337	21.58721	20.91665	20.34726	20.17457	23.45475	24.36575	23.01435	22.4927	23.31931	21.76356	22.78044	21.20772
Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1	NUCKS1	25.8987	25.69043	24.43317	22.70991	26.37783	24.7852	23.15946	21.59386	24.56678	24.31092	21.24533	20.82492	22.29816	21.35131	20.52205	20.46057	23.14095	23.84869	21.32886	20.78587	22.27711	20.49082	20.86526	21.08569	24.31467	24.51141	24.57259	22.79587	24.81727	22.66571	23.95275	21.08813
Thioredoxin-related transmembrane protein 4	TMX4	22.53772	23.55223	22.24115	21.21066	22.75715	19.60115	24.93486	25.12579	22.7577	20.33793	22.2211	21.96667	22.52457	22.3303	22.84213	21.77681	25.7729	22.87552	22.23408	23.22869	21.63625	22.22198	22.51835	22.00224	20.07235	24.68319	22.06536	21.7251	21.91133	22.07322	22.68618	22.41657
Oxysterol-binding protein-related protein 2 (Fragment)	OSBPL2	17.70606	20.42788	21.01495	20.82384	20.99064	21.17731	23.33178	21.15531	20.59163	21.46109	22.45031	21.8155	20.70927	21.88879	21.50485	19.68059	21.46004	20.91241	21.55165	20.44363	20.33178	21.17609	21.25194	20.39069	21.53639	20.46245	21.57159	20.57548	21.60395	20.70335	21.55703	20.58527
